chr	windowStart	windowEnd	D	f_d	f_dM	d_f
contig30	13328	44756	0.019054	0.203170	0.154768	0.009844
contig30	18948	65864	-0.011390	-0.312062	-0.186278	-0.005876
contig30	45011	83903	-0.019507	-0.526649	-0.161119	-0.010082
contig30	65924	106424	-0.002877	-0.064286	-0.019107	-0.002557
contig30	83998	110664	0.007892	0.225433	0.082982	0.003256
contig30	106513	131980	0.008254	0.277239	0.112359	0.003891
contig30	121322	132774	0.005216	0.281723	0.135479	0.002368
contig30	132023	136126	-0.002604	-0.243912	-0.129864	-0.001665
contig30	132816	138210	-0.005365	-0.203943	-0.119348	-0.002954
contig30	136437	138798	0.000259	0.010338	0.006774	-0.000045
contig30	138217	141316	0.021763	0.223439	0.164477	0.009086
contig30	138814	145160	0.035047	0.245594	0.181200	0.015470
contig30	141334	149196	0.022765	0.304544	0.224871	0.011640
contig30	145206	155003	0.024199	0.419242	0.293580	0.012365
contig30	149216	172224	0.002412	0.053713	0.025721	0.000724
contig30	155590	191510	-0.007165	-0.196294	-0.077870	-0.003867
contig30	177110	205237	0.007523	0.223380	0.116869	0.003773
contig30	192554	231859	0.007710	0.227367	0.140197	0.003892
contig30	205244	237118	0.001390	0.028694	0.013832	0.001120
contig30	232598	251879	-0.005982	-0.141339	-0.062826	-0.002468
contig30	237121	256185	0.024388	0.313196	0.183169	0.011973
contig30	252707	259016	0.051157	0.393971	0.279359	0.025740
contig30	256346	280897	0.035030	0.223476	0.148999	0.014925
contig30	259511	293546	-0.020473	-0.203105	-0.077324	-0.011179
contig30	280949	300393	-0.030110	-1.073091	-0.162749	-0.014994
contig30	293694	305539	-0.033701	3.964656	-0.137827	-0.013189
contig30	300678	308417	-0.056595	-1.660697	-0.167219	-0.020715
contig30	305642	310943	-0.036646	-0.211462	-0.100573	-0.018630
contig30	309766	336288	-0.000252	-0.002707	-0.001519	-0.001684
contig30	311026	338441	-0.002608	-0.063585	-0.037708	-0.001391
contig30	336291	381989	-0.003347	-0.076318	-0.055989	-0.001882
contig30	349751	387631	-0.013716	-0.342962	-0.123233	-0.006401
contig30	382127	397368	-0.009634	-0.257885	-0.090071	-0.004430
contig30	387643	419158	0.010603	0.295465	0.165643	0.005435
contig30	402727	420969	0.009557	0.324944	0.188556	0.005168
contig30	419159	427476	-0.016616	-0.393146	-0.063736	-0.007659
contig30	421083	430719	-0.038543	-0.415691	-0.093842	-0.020783
contig30	427489	442139	-0.007741	-0.163253	-0.087970	-0.005760
contig30	440371	460014	0.008534	0.254102	0.216982	0.004089
contig30	442638	464541	0.009457	0.244226	0.185238	0.004459
contig30	460026	471655	0.001426	0.091623	0.046982	0.000670
contig30	465038	478707	0.001897	0.081371	0.053367	0.000455
contig30	471711	502370	-0.010020	-0.343468	-0.108699	-0.005061
contig30	481992	512844	-0.029285	-1.505319	-0.215299	-0.014098
contig30	502670	528965	-0.014112	-0.060664	-0.037092	-0.008389
contig30	513122	541455	0.001815	0.007151	0.004984	-0.000258
contig30	528966	542631	-0.022063	-0.417646	-0.129767	-0.009817
contig30	541502	544771	-0.018446	-0.117175	-0.060021	-0.010335
contig30	542650	547421	-0.002115	-0.021995	-0.012828	-0.001435
contig30	544789	550818	-0.005484	-0.595826	-0.069371	-0.002660
contig30	547437	555467	-0.048999	2.267576	-0.243420	-0.020199
contig30	550955	557619	-0.050499	2.947265	-0.211183	-0.019984
contig30	555745	571656	-0.002523	-0.081617	-0.021998	-0.001656
contig30	557928	587275	-0.006450	-0.195564	-0.115425	-0.003970
contig30	571903	594511	-0.014899	-0.569075	-0.204527	-0.008087
contig30	587281	596201	-0.020043	-0.807899	-0.239531	-0.009004
contig30	594667	620297	0.021232	0.380717	0.197194	0.012986
contig30	597898	624212	0.032210	0.613897	0.274524	0.019084
contig30	620445	625576	-0.031880	-0.853797	-0.255321	-0.012860
contig30	624220	627158	-0.030110	-0.427482	-0.186657	-0.015272
contig30	625589	628553	-0.016132	-0.459813	-0.160326	-0.008932
contig30	627253	646981	-0.020938	-1.557593	-0.422928	-0.010160
contig30	628563	648363	0.000600	0.010585	0.007588	0.000203
contig30	647058	650287	0.007794	0.207288	0.153231	0.003826
contig30	648382	657299	0.010427	0.352212	0.252588	0.004574
contig30	650529	671741	0.063714	0.443841	0.224320	0.026432
contig30	657327	672723	0.042824	0.258151	0.116275	0.018411
contig30	671747	674719	-0.053716	-1.779660	-0.204907	-0.021484
contig30	672764	679952	-0.040512	5.848586	-0.222449	-0.015655
contig30	675226	686272	0.005394	0.135022	0.073781	0.001897
contig30	680013	700597	0.012812	0.077787	0.043045	0.003217
contig30	686430	717539	0.018946	0.079730	0.044735	0.003694
contig30	704415	719287	0.032854	0.292815	0.193925	0.012006
contig30	717604	721826	-0.015307	-0.344734	-0.098969	-0.011865
contig30	719415	724585	-0.068431	-2.763468	-0.306055	-0.035297
contig30	722031	726848	-0.040493	-0.484369	-0.118715	-0.021988
contig30	724596	737806	-0.052403	-0.979831	-0.179071	-0.030638
contig30	726850	740613	-0.080856	-9.622140	-0.427675	-0.042178
contig30	737878	743542	-0.134477	4.948733	-0.565716	-0.069461
contig30	740783	746503	-0.109260	3.483025	-0.484348	-0.054415
contig30	743598	749507	0.033514	0.423349	0.209415	0.018216
contig30	746700	750889	-0.027993	-0.925104	-0.176917	-0.012453
contig30	749654	753178	-0.141412	12.222767	-0.420473	-0.066074
contig30	751121	755136	-0.124520	-7.349605	-0.321481	-0.059170
contig30	753181	759065	-0.072092	-6.395464	-0.244901	-0.034225
contig30	755219	766982	-0.050707	5.653774	-0.181313	-0.021642
contig30	759816	769269	-0.053872	1.151858	-0.300104	-0.026904
contig30	767133	770540	-0.036971	2.780488	-0.347659	-0.018887
contig30	769502	772266	0.007362	0.077343	0.066185	0.003266
contig30	770542	774490	0.005458	0.054153	0.047414	0.002298
