chrom	position	2,0	1,1	0,2
Chrom1	22043	0.00125827	0.998592	0.000150053
Chrom1	23135	0.00123648	0.998635	0.000128246
Chrom1	24376	0.000932637	0.999055	1.28411e-05
Chrom1	40025	0.000146581	0.999807	4.6203e-05
Chrom1	71493	0.00137735	0.998618	4.30825e-06
Chrom1	74381	0.00275928	0.99724	6.28716e-07
Chrom1	78086	0.000716273	0.999276	7.82902e-06
Chrom1	141357	0.000297885	0.999702	5.44803e-07
Chrom1	142437	0.000255944	0.999744	4.50626e-07
Chrom1	145265	4.42357e-05	0.999955	3.39369e-07
Chrom1	147704	0.000222554	0.999777	1.96847e-08
Chrom1	150806	0.000376315	0.999624	9.47688e-09
Chrom1	155147	0.000162664	0.999837	4.35284e-08
Chrom1	156218	0.000211837	0.999788	2.90262e-08
Chrom1	157429	0.000220873	0.999779	3.05414e-08
Chrom1	159411	0.000185482	0.999814	3.21233e-08
Chrom1	166143	0.000139867	0.99986	1.74429e-08
Chrom1	168857	8.26849e-05	0.999917	6.22087e-10
Chrom1	170580	7.79097e-05	0.999922	9.46917e-09
Chrom1	172272	0.000117099	0.999883	6.13814e-09
Chrom1	174349	7.29784e-05	0.999927	3.75452e-10
Chrom1	176578	0.000122595	0.999877	8.25049e-09
Chrom1	178728	5.33629e-05	0.999947	2.61492e-08
Chrom1	182154	0.000194657	0.999805	1.31015e-09
Chrom1	183166	9.45859e-05	0.999905	1.75533e-08
Chrom1	185562	9.93061e-05	0.999901	2.75547e-08
Chrom1	196026	9.77211e-05	0.999902	4.38238e-08
Chrom1	200468	7.8796e-05	0.999921	4.95914e-08
Chrom1	201551	0.000107816	0.999892	2.91314e-08
Chrom1	202582	7.94494e-05	0.999921	4.70167e-08
Chrom1	206962	6.51055e-05	0.999935	5.40889e-08
Chrom1	208769	4.71074e-05	0.999953	6.43925e-09
Chrom1	214462	4.3525e-05	0.999956	2.19553e-07
Chrom1	235392	2.01284e-05	0.999979	4.6984e-07
Chrom1	236430	1.38787e-05	0.999985	6.52076e-07
Chrom1	237433	1.30227e-05	0.999986	6.54467e-07
Chrom1	238648	1.19323e-05	0.999987	6.08664e-07
Chrom1	255920	3.61683e-06	0.999996	4.23129e-07
Chrom1	257788	1.03854e-05	0.99999	2.08352e-08
Chrom1	260446	8.0211e-07	0.999999	2.60571e-07
Chrom1	264040	3.5433e-06	0.999996	2.19901e-07
Chrom1	269419	2.52607e-06	0.999997	2.48654e-07
Chrom1	272580	2.56499e-07	0.999999	2.97937e-07
Chrom1	310408	4.17241e-07	1	1.66306e-08
Chrom1	340991	5.68513e-08	0.999999	1.13634e-06
Chrom1	345233	4.56833e-07	0.999999	5.88262e-07
Chrom1	347205	3.7735e-07	1	6.78145e-08
Chrom1	349026	4.85044e-07	0.999999	7.43795e-07
Chrom1	350051	5.54171e-07	0.999999	7.44254e-07
Chrom1	352155	6.04349e-07	0.999999	8.61201e-07
Chrom1	367723	6.84652e-07	0.999997	2.24002e-06
Chrom1	495613	1.18159e-06	0.999996	2.60916e-06
Chrom1	506155	9.11264e-07	0.999997	2.39461e-06
Chrom1	511162	7.67301e-07	0.999997	2.27714e-06
Chrom1	532721	3.87519e-09	0.999995	4.98939e-06
Chrom1	533739	1.34623e-08	0.999998	2.3677e-06
Chrom1	534777	2.99172e-08	0.999999	1.33574e-06
Chrom1	536560	2.95578e-08	0.999999	9.95531e-07
Chrom1	537611	2.5827e-08	0.999999	8.75174e-07
Chrom1	538781	1.40549e-08	1	4.65192e-08
Chrom1	539857	1.48489e-08	1	4.80603e-08
Chrom1	541064	7.20851e-09	0.999999	1.45683e-06
Chrom1	542736	1.05685e-07	0.999999	6.15991e-07
Chrom1	554392	2.51041e-07	0.999998	1.32706e-06
Chrom1	566500	2.22062e-06	0.999998	1.85613e-07
Chrom1	568755	1.29214e-06	0.999998	1.11626e-06
Chrom1	636344	2.05047e-06	0.999992	5.48759e-06
Chrom1	705849	6.93728e-07	0.999999	7.55135e-07
Chrom1	717236	1.5626e-06	0.999988	1.06173e-05
Chrom1	720626	1.37969e-06	0.999985	1.32564e-05
Chrom1	749815	2.18165e-07	0.999969	3.05054e-05
Chrom1	852403	1.41112e-06	0.999936	6.26668e-05
Chrom1	893880	1.83797e-07	0.999883	0.000117207
Chrom1	896526	3.67143e-07	0.999923	7.66339e-05
Chrom1	900852	1.17366e-07	0.999827	0.000172395
Chrom1	902283	3.13762e-07	0.999922	7.72932e-05
Chrom1	918854	3.18124e-07	0.999929	7.03161e-05
Chrom1	919917	3.03823e-08	0.999617	0.000382865
Chrom1	922447	4.45137e-07	0.999974	2.55675e-05
Chrom1	933148	5.39463e-07	0.999901	9.83772e-05
Chrom1	1093865	4.67554e-06	0.999976	1.97333e-05
Chrom1	1162127	3.52098e-06	0.999996	9.77194e-08
Chrom1	1169636	4.90539e-06	0.999994	5.98355e-07
Chrom1	1175245	6.30767e-06	0.999993	2.81433e-07
Chrom1	1176900	5.22654e-06	0.999994	2.78358e-07
Chrom1	1179010	4.12308e-06	0.999996	6.57711e-08
Chrom1	1194054	9.90285e-06	0.99999	3.14532e-09
Chrom1	1199489	2.92696e-06	0.999997	4.68349e-08
Chrom1	1203549	9.29547e-06	0.999991	1.42033e-09
Chrom1	1207266	2.09894e-06	0.999998	1.44337e-08
Chrom1	1218100	4.55572e-06	0.999995	9.18248e-10
Chrom1	1219338	6.20001e-06	0.999994	1.24517e-09
Chrom1	1232630	8.29982e-06	0.999992	4.35217e-09
Chrom1	1280060	6.59504e-07	0.999999	2.57241e-07
Chrom1	1282118	4.01411e-07	0.999999	2.91615e-07
Chrom1	1283228	4.42327e-07	0.999999	2.09662e-07
Chrom1	1284985	2.6681e-08	1	1.12836e-07
Chrom1	1288969	1.26372e-07	1	2.83014e-07
Chrom1	1302901	1.85257e-07	1	1.45508e-07
Chrom1	1304749	1.73258e-07	1	8.47729e-08
Chrom1	1306750	1.28316e-07	1	1.50496e-07
Chrom1	1309961	4.38248e-08	1	2.20679e-07
Chrom1	1317678	4.80198e-08	1	7.92643e-08
Chrom1	1318981	6.12085e-09	1	5.48494e-08
Chrom1	1322716	3.04917e-08	1	3.18832e-09
Chrom1	1323726	6.49778e-08	1	5.14002e-09
Chrom1	1325321	4.00066e-08	1	4.21421e-08
Chrom1	1336085	3.42373e-07	0.999999	4.36082e-07
Chrom1	1347753	2.10536e-08	0.999994	6.0268e-06
Chrom1	1397263	1.64357e-07	0.999997	2.5808e-06
Chrom1	1401553	1.41586e-07	0.999984	1.62067e-05
Chrom1	1436099	3.03554e-07	0.999985	1.44004e-05
Chrom1	1456349	1.30284e-08	0.999968	3.23656e-05
Chrom1	1457362	4.42945e-08	0.999956	4.41334e-05
Chrom1	1459270	3.08406e-07	0.999997	2.2753e-06
Chrom1	1469496	4.11075e-08	0.999986	1.39125e-05
Chrom1	1608111	5.9241e-06	0.999909	8.5072e-05
Chrom1	1792838	8.77998e-06	0.999876	0.000115278
Chrom1	1969396	7.47352e-07	0.999954	4.51286e-05
Chrom1	2212469	3.28875e-05	0.999851	0.00011594
Chrom1	2255703	4.54461e-05	0.999862	9.21129e-05
Chrom1	2501734	4.60147e-05	0.999871	8.32143e-05
Chrom1	2642431	1.29333e-05	0.999805	0.000181798
Chrom1	2689535	1.31282e-05	0.999904	8.30973e-05
Chrom1	2691018	1.47615e-05	0.999906	7.87938e-05
Chrom1	2714575	4.07833e-05	0.999947	1.17576e-05
Chrom1	2790317	4.78218e-05	0.999923	2.96621e-05
Chrom1	2831551	6.33718e-05	0.999921	1.56055e-05
Chrom1	2847529	7.30825e-05	0.999917	1.02483e-05
