chrom	position	2,0	1,1	0,2
Chrom1	22043	1.45707e-06	0.00134952	0.998649
Chrom1	23135	1.42773e-06	0.00133867	0.99866
Chrom1	24376	5.79607e-07	0.000939034	0.99906
Chrom1	40025	1.16151e-06	0.0012165	0.998782
Chrom1	71493	6.71366e-07	0.00094081	0.999059
Chrom1	74381	7.22396e-07	0.000975984	0.999023
Chrom1	78086	6.83005e-07	0.000951325	0.999048
Chrom1	141357	1.66382e-07	0.000529053	0.999471
Chrom1	142437	1.92899e-07	0.00061604	0.999384
Chrom1	145265	1.43881e-07	0.000499462	0.9995
Chrom1	147704	6.04058e-08	0.000328549	0.999671
Chrom1	150806	7.90073e-08	0.000385165	0.999615
Chrom1	155147	1.07372e-07	0.00044394	0.999556
Chrom1	156218	1.04507e-07	0.000439135	0.999561
Chrom1	157429	1.31645e-07	0.000498634	0.999501
Chrom1	159411	9.54847e-08	0.000423462	0.999576
Chrom1	166143	1.75444e-08	0.000195335	0.999805
Chrom1	168857	7.35094e-08	0.000381681	0.999618
Chrom1	170580	7.14786e-08	0.000377241	0.999623
Chrom1	172272	8.53085e-08	0.000415256	0.999585
Chrom1	174349	6.68754e-08	0.000366904	0.999633
Chrom1	176578	9.00395e-08	0.000426644	0.999573
Chrom1	178728	6.09758e-08	0.000353142	0.999647
Chrom1	182154	5.61331e-08	0.000341434	0.999659
Chrom1	183166	4.6924e-08	0.000313866	0.999686
Chrom1	185562	4.27986e-08	0.000300046	0.9997
Chrom1	196026	4.85139e-08	0.000330214	0.99967
Chrom1	200468	3.55759e-08	0.000286138	0.999714
Chrom1	201551	3.44258e-08	0.000282698	0.999717
Chrom1	202582	3.75834e-08	0.000297186	0.999703
Chrom1	206962	2.86278e-08	0.000264612	0.999735
Chrom1	208769	1.1148e-08	0.00018311	0.999817
Chrom1	214462	2.34283e-08	0.000244911	0.999755
Chrom1	235392	1.27307e-08	0.000194837	0.999805
Chrom1	236430	7.35711e-09	0.000148929	0.999851
Chrom1	237433	8.32756e-09	0.000161805	0.999838
Chrom1	238648	1.15775e-08	0.000188596	0.999811
Chrom1	255920	3.39074e-09	0.000119312	0.999881
Chrom1	257788	6.8199e-09	0.000159386	0.999841
Chrom1	260446	6.42058e-09	0.000156332	0.999844
Chrom1	264040	6.87348e-09	0.000164864	0.999835
Chrom1	269419	1.40488e-09	9.28897e-05	0.999907
Chrom1	272580	1.4458e-08	0.000242669	0.999757
Chrom1	310408	3.70121e-10	5.75058e-05	0.999942
Chrom1	340991	6.48766e-10	6.47647e-05	0.999935
Chrom1	345233	5.61909e-10	6.10743e-05	0.999939
Chrom1	347205	1.5786e-10	3.34607e-05	0.999967
Chrom1	349026	4.2753e-10	5.39962e-05	0.999946
Chrom1	350051	4.96055e-10	5.80439e-05	0.999942
Chrom1	352155	1.97891e-10	4.04001e-05	0.99996
Chrom1	367723	4.09104e-10	5.25411e-05	0.999947
Chrom1	495613	1.89375e-11	1.12084e-05	0.999989
Chrom1	506155	7.70325e-12	7.50951e-06	0.999992
Chrom1	511162	1.19872e-12	3.75893e-06	0.999996
Chrom1	532721	5.89151e-16	3.6699e-07	1
Chrom1	533739	1.43671e-15	3.6357e-07	1
Chrom1	534777	1.52832e-15	3.4971e-07	1
Chrom1	536560	4.69253e-16	1.94355e-07	1
Chrom1	537611	1.20569e-15	2.92908e-07	1
Chrom1	538781	2.29632e-16	1.38692e-07	1
Chrom1	539857	1.64538e-15	3.01791e-07	1
Chrom1	541064	1.04162e-16	8.76597e-08	1
Chrom1	542736	4.93985e-15	3.09969e-07	1
Chrom1	554392	4.29763e-15	1.74283e-07	1
Chrom1	566500	5.66787e-14	5.72487e-07	0.999999
Chrom1	568755	5.36377e-14	5.69105e-07	0.999999
Chrom1	636344	1.12345e-12	2.36274e-06	0.999998
Chrom1	705849	6.79527e-14	1.33412e-06	0.999999
Chrom1	717236	1.85048e-13	2.28965e-06	0.999998
Chrom1	720626	6.85822e-15	1.11419e-06	0.999999
Chrom1	749815	3.9048e-14	1.39186e-06	0.999999
Chrom1	852403	2.09468e-12	3.72057e-06	0.999996
Chrom1	893880	1.4859e-12	4.08605e-06	0.999996
Chrom1	896526	1.16917e-12	3.78934e-06	0.999996
Chrom1	900852	2.38867e-13	2.33235e-06	0.999998
Chrom1	902283	9.07212e-13	3.70532e-06	0.999996
Chrom1	918854	7.53172e-13	4.035e-06	0.999996
Chrom1	919917	2.08e-14	1.19987e-06	0.999999
Chrom1	922447	5.60167e-13	3.18182e-06	0.999997
Chrom1	933148	2.33462e-12	4.66848e-06	0.999995
Chrom1	1093865	1.68269e-11	1.47135e-05	0.999985
Chrom1	1162127	5.63408e-12	9.39501e-06	0.999991
Chrom1	1169636	3.99434e-12	9.06467e-06	0.999991
Chrom1	1175245	2.71142e-12	8.80319e-06	0.999991
Chrom1	1176900	9.64613e-13	6.6677e-06	0.999993
Chrom1	1179010	4.87466e-12	2.56553e-05	0.999974
Chrom1	1194054	2.2544e-13	3.9781e-06	0.999996
Chrom1	1199489	3.56902e-13	4.24615e-06	0.999996
Chrom1	1203549	3.20788e-13	3.91327e-06	0.999996
Chrom1	1207266	1.6564e-12	7.83805e-06	0.999992
Chrom1	1218100	8.41759e-13	4.59427e-06	0.999995
Chrom1	1219338	8.29248e-13	4.50152e-06	0.999995
Chrom1	1232630	1.85266e-13	1.96719e-06	0.999998
Chrom1	1280060	1.02109e-13	1.29643e-06	0.999999
Chrom1	1282118	4.79367e-14	9.69007e-07	0.999999
Chrom1	1283228	6.61489e-14	1.21599e-06	0.999999
Chrom1	1284985	1.33349e-15	3.42656e-07	1
Chrom1	1288969	5.31174e-14	1.08602e-06	0.999999
Chrom1	1302901	4.45876e-14	8.56626e-07	0.999999
Chrom1	1304749	3.17942e-14	7.396e-07	0.999999
Chrom1	1306750	1.57634e-14	5.30892e-07	0.999999
Chrom1	1309961	3.56756e-14	7.96588e-07	0.999999
Chrom1	1317678	1.07879e-14	5.58457e-07	0.999999
Chrom1	1318981	2.20194e-14	7.62968e-07	0.999999
Chrom1	1322716	5.19192e-15	5.01213e-07	0.999999
Chrom1	1323726	1.71066e-14	7.74314e-07	0.999999
Chrom1	1325321	4.09122e-15	4.05408e-07	1
Chrom1	1336085	2.43747e-15	5.8698e-07	0.999999
Chrom1	1347753	3.07304e-13	1.74266e-06	0.999998
Chrom1	1397263	1.40379e-12	3.88418e-06	0.999996
Chrom1	1401553	4.325e-13	2.27231e-06	0.999998
Chrom1	1436099	6.71193e-13	3.15684e-06	0.999997
Chrom1	1456349	3.35005e-13	5.01349e-06	0.999995
Chrom1	1457362	6.44578e-12	9.69331e-06	0.99999
Chrom1	1459270	9.16365e-12	1.02367e-05	0.99999
Chrom1	1469496	2.605e-11	1.31242e-05	0.999987
Chrom1	1608111	5.5711e-10	4.81386e-05	0.999952
Chrom1	1792838	1.67115e-09	8.28558e-05	0.999917
Chrom1	1969396	2.58273e-09	0.000103283	0.999897
Chrom1	2212469	2.91558e-09	0.000111011	0.999889
Chrom1	2255703	2.83703e-09	0.000109911	0.99989
Chrom1	2501734	2.09342e-09	9.99129e-05	0.9999
Chrom1	2642431	2.19209e-10	4.23002e-05	0.999958
Chrom1	2689535	4.65423e-10	5.61479e-05	0.999944
Chrom1	2691018	4.60823e-10	5.5948e-05	0.999944
Chrom1	2714575	2.47887e-10	4.3231e-05	0.999957
Chrom1	2790317	7.30612e-10	0.000112002	0.999888
Chrom1	2831551	1.76902e-11	1.2737e-05	0.999987
Chrom1	2847529	7.23402e-11	2.58904e-05	0.999974
Chrom1	2851172	5.11982e-11	2.18511e-05	0.999978
Chrom1	2875162	3.31597e-11	1.83555e-05	0.999982
Chrom1	2881408	5.8627e-12	9.34092e-06	0.999991
Chrom1	2882687	1.7149e-11	1.37951e-05	0.999986
Chrom1	2911017	7.05638e-13	2.90051e-06	0.999997
Chrom1	2920006	3.87553e-12	6.68685e-06	0.999993
Chrom1	2961592	2.36581e-12	5.30613e-06	0.999995
Chrom1	2962981	2.00164e-12	4.94598e-06	0.999995
Chrom1	2964100	2.48558e-12	5.49796e-06	0.999995
Chrom1	2965176	3.29466e-12	7.07734e-06	0.999993
Chrom1	2967817	5.62402e-13	2.76055e-06	0.999997
Chrom1	2978424	2.17755e-12	5.04435e-06	0.999995
Chrom1	2985338	9.94906e-13	3.613e-06	0.999996
Chrom1	3024789	1.76528e-12	4.31007e-06	0.999996
Chrom1	3047305	1.35761e-13	2.15465e-06	0.999998
Chrom1	3059340	2.83847e-13	2.36107e-06	0.999998
Chrom1	3131111	4.018e-12	4.71834e-06	0.999995
