chrom	position	2,0	1,1	0,2
Chrom1	22043	0.995025	0.00496983	5.31037e-06
Chrom1	23135	0.997811	0.00218754	1.13889e-06
Chrom1	24376	0.99723	0.00276855	1.92633e-06
Chrom1	40025	0.998618	0.00138172	2.89292e-07
Chrom1	71493	0.997483	0.00251636	2.9844e-07
Chrom1	74381	0.995703	0.00429676	3.23385e-08
Chrom1	78086	0.997761	0.00223856	1.66626e-07
Chrom1	141357	0.999014	0.000985754	2.57789e-08
Chrom1	142437	0.998597	0.00140321	5.26767e-08
Chrom1	145265	0.998781	0.00121945	3.73461e-08
Chrom1	147704	0.998813	0.00118708	3.43289e-08
Chrom1	150806	0.998562	0.00143778	4.62066e-08
Chrom1	155147	0.998926	0.00107351	2.46259e-08
Chrom1	156218	0.998944	0.00105565	2.32095e-08
Chrom1	157429	0.998965	0.00103546	2.16362e-08
Chrom1	159411	0.998998	0.00100241	1.91257e-08
Chrom1	166143	0.99911	0.000890135	1.11975e-08
Chrom1	168857	0.999155	0.000844866	8.26349e-09
Chrom1	170580	0.998737	0.00126344	1.35844e-08
Chrom1	172272	0.999054	0.000945637	6.09569e-09
Chrom1	174349	0.99963	0.000369548	5.16611e-11
Chrom1	176578	0.999401	0.000599399	6.85798e-10
Chrom1	178728	0.999362	0.000637964	6.5325e-10
Chrom1	182154	0.999686	0.000313513	2.22562e-11
Chrom1	183166	0.999421	0.000579267	3.21635e-10
Chrom1	185562	0.999385	0.000615046	3.6458e-10
Chrom1	196026	0.999569	0.000430594	1.65092e-10
Chrom1	200468	0.999566	0.000434376	1.59539e-10
Chrom1	201551	0.999755	0.000245372	4.75643e-11
Chrom1	202582	0.999603	0.000397317	1.30318e-10
Chrom1	206962	0.999598	0.000402189	1.33717e-10
Chrom1	208769	0.999606	0.000394402	1.2769e-10
Chrom1	214462	0.999753	0.000247094	3.58396e-11
Chrom1	235392	0.99969	0.000309775	8.53447e-11
Chrom1	236430	0.999693	0.000306791	8.31268e-11
Chrom1	237433	0.999696	0.000303907	8.08929e-11
Chrom1	238648	0.9997	0.000300413	7.807e-11
Chrom1	255920	0.999866	0.000134469	1.88208e-12
Chrom1	257788	0.999752	0.00024783	2.92855e-11
Chrom1	260446	0.999756	0.000243778	3.35648e-11
Chrom1	264040	0.999787	0.000212785	3.0628e-11
Chrom1	269419	0.999769	0.000230993	4.50585e-11
Chrom1	272580	0.999874	0.000126418	1.53968e-11
Chrom1	310408	0.999801	0.000199254	8.84068e-11
Chrom1	340991	0.999878	0.000122197	1.75355e-11
Chrom1	345233	0.999825	0.000174601	4.25861e-11
Chrom1	347205	0.999908	9.21351e-05	2.48847e-12
Chrom1	349026	0.999801	0.000198988	6.99883e-11
Chrom1	350051	0.999827	0.000173098	5.83942e-11
Chrom1	352155	0.999705	0.000294538	1.68468e-10
Chrom1	367723	0.999835	0.000164614	1.16516e-10
Chrom1	495613	0.999905	9.52459e-05	5.10057e-11
Chrom1	506155	0.999911	8.9236e-05	2.20609e-11
Chrom1	511162	0.999972	2.79309e-05	2.12454e-13
Chrom1	532721	0.999916	8.398e-05	5.89306e-12
Chrom1	533739	0.999916	8.38628e-05	5.43559e-12
Chrom1	534777	0.999916	8.37428e-05	4.93505e-12
Chrom1	536560	0.999916	8.35357e-05	3.99519e-12
Chrom1	537611	0.999939	6.12211e-05	8.16275e-13
Chrom1	538781	0.999956	4.35944e-05	1.5609e-13
Chrom1	539857	0.999916	8.35236e-05	6.30023e-12
Chrom1	541064	0.999916	8.36914e-05	9.50157e-12
Chrom1	542736	0.999916	8.39228e-05	1.38725e-11
Chrom1	554392	0.999914	8.5505e-05	4.22567e-11
Chrom1	566500	0.999913	8.7091e-05	6.77775e-11
Chrom1	568755	0.999913	8.73799e-05	7.20732e-11
Chrom1	636344	0.999905	9.50956e-05	1.29428e-10
Chrom1	705849	0.999793	0.000206896	5.98986e-12
Chrom1	717236	0.999782	0.000217561	1.65068e-10
Chrom1	720626	0.999936	6.40035e-05	1.54486e-11
Chrom1	749815	0.99991	9.00552e-05	9.89995e-11
Chrom1	852403	0.999941	5.94648e-05	8.49168e-11
Chrom1	893880	0.999958	4.19836e-05	2.39586e-11
Chrom1	896526	0.999971	2.88431e-05	6.94905e-12
Chrom1	900852	0.999956	4.43679e-05	2.33276e-11
Chrom1	902283	0.999956	4.41237e-05	2.2747e-11
Chrom1	918854	0.999962	3.81506e-05	1.19171e-11
Chrom1	919917	0.999959	4.10672e-05	1.34145e-11
Chrom1	922447	0.999976	2.42836e-05	2.31827e-12
Chrom1	933148	0.999985	1.51125e-05	7.53177e-13
Chrom1	1093865	0.999958	4.21247e-05	1.06648e-10
Chrom1	1162127	0.999937	6.3474e-05	2.62707e-10
Chrom1	1169636	0.999952	4.80541e-05	9.02105e-11
Chrom1	1175245	0.999935	6.52041e-05	2.82659e-10
Chrom1	1176900	0.999935	6.54903e-05	2.88081e-10
Chrom1	1179010	0.999934	6.58536e-05	2.94951e-10
Chrom1	1194054	0.999932	6.83924e-05	3.42459e-10
Chrom1	1199489	0.999931	6.92874e-05	3.58943e-10
Chrom1	1203549	0.99987	0.00013002	1.21853e-09
Chrom1	1207266	0.99993	6.99631e-05	3.71524e-10
Chrom1	1218100	0.999869	0.000130821	1.33737e-09
Chrom1	1219338	0.99993	6.97777e-05	3.67273e-10
Chrom1	1232630	0.999932	6.762e-05	3.21435e-10
Chrom1	1280060	0.999941	5.9345e-05	1.43372e-10
Chrom1	1282118	0.999941	5.89656e-05	1.35244e-10
Chrom1	1283228	0.999948	5.16284e-05	1.01517e-10
Chrom1	1284985	0.999942	5.84965e-05	1.24843e-10
Chrom1	1288969	0.999942	5.78938e-05	1.11116e-10
Chrom1	1302901	0.999944	5.57364e-05	6.20028e-11
Chrom1	1304749	0.999937	6.30708e-05	7.05997e-11
Chrom1	1306750	0.999945	5.5056e-05	4.72162e-11
Chrom1	1309961	0.999971	2.86566e-05	1.80623e-12
Chrom1	1317678	0.999946	5.41001e-05	3.71062e-11
Chrom1	1318981	0.999946	5.40422e-05	3.74996e-11
Chrom1	1322716	0.999946	5.38724e-05	3.84471e-11
Chrom1	1323726	0.999917	8.28262e-05	9.24877e-11
Chrom1	1325321	0.999946	5.35929e-05	3.80344e-11
Chrom1	1336085	0.999966	3.39997e-05	1.00538e-11
Chrom1	1347753	0.999949	5.13471e-05	3.5086e-11
Chrom1	1397263	0.999972	2.83064e-05	3.3481e-12
Chrom1	1401553	0.999952	4.81012e-05	1.99192e-11
Chrom1	1436099	0.999951	4.87579e-05	1.86416e-11
Chrom1	1456349	0.999979	2.13735e-05	1.27254e-12
Chrom1	1457362	0.999914	8.59699e-05	1.50559e-12
Chrom1	1459270	0.999951	4.92206e-05	1.28216e-11
Chrom1	1469496	0.99995	4.97786e-05	3.7359e-11
Chrom1	1608111	0.999966	3.3578e-05	5.84978e-11
Chrom1	1792838	0.999936	6.39751e-05	6.85524e-10
Chrom1	1969396	0.999972	2.84617e-05	1.25958e-10
Chrom1	2212469	0.999919	8.08632e-05	1.46675e-09
Chrom1	2255703	0.999927	7.30891e-05	1.21835e-09
Chrom1	2501734	0.999931	6.8838e-05	1.08603e-09
Chrom1	2642431	0.999926	7.40373e-05	1.21018e-09
Chrom1	2689535	0.99993	7.01815e-05	1.06077e-09
Chrom1	2691018	0.999939	6.09502e-05	8.04389e-10
Chrom1	2714575	0.999906	9.43636e-05	1.86988e-09
Chrom1	2790317	0.999944	5.61348e-05	5.94748e-10
Chrom1	2831551	0.999952	4.83928e-05	3.8329e-10
Chrom1	2847529	0.999959	4.14793e-05	2.54604e-10
Chrom1	2851172	0.999955	4.45545e-05	2.89333e-10
Chrom1	2875162	0.999963	3.71247e-05	1.60931e-10
Chrom1	2881408	0.999961	3.90321e-05	1.66053e-10
Chrom1	2882687	0.999964	3.57633e-05	1.36036e-10
Chrom1	2911017	0.999989	1.07721e-05	1.75714e-12
Chrom1	2920006	0.999957	4.3473e-05	1.31025e-10
Chrom1	2961592	0.999963	3.67505e-05	1.33312e-10
Chrom1	2962981	0.999965	3.45205e-05	1.18988e-10
Chrom1	2964100	0.999966	3.4495e-05	1.19562e-10
Chrom1	2965176	0.999962	3.82205e-05	1.46239e-10
Chrom1	2967817	0.999966	3.43607e-05	1.20925e-10
Chrom1	2978424	0.999966	3.38932e-05	1.23574e-10
Chrom1	2985338	0.999966	3.35643e-05	1.24751e-10
Chrom1	3024789	0.999969	3.13216e-05	1.23687e-10
Chrom1	3047305	0.99997	2.97627e-05	1.17708e-10
Chrom1	3059340	0.999971	2.88462e-05	1.13116e-10
Chrom1	3131111	0.999981	1.9409e-05	5.30545e-11
Chrom1	3176594	0.999982	1.78833e-05	4.44111e-11
Chrom1	3177974	0.999982	1.77401e-05	4.35558e-11
Chrom1	3207662	0.999986	1.44739e-05	2.50616e-11
Chrom1	3210291	0.999987	1.29883e-05	1.95431e-11
Chrom1	3221808	0.999987	1.29471e-05	1.7269e-11
Chrom1	3222811	0.999987	1.28383e-05	1.67356e-11
Chrom1	3224291	0.999994	5.95157e-06	3.54176e-12
Chrom1	3226717	0.999987	1.26306e-05	1.56023e-11
Chrom1	3227728	0.999991	8.88348e-06	4.0736e-12
Chrom1	3228743	0.999987	1.26259e-05	1.57101e-11
Chrom1	3230792	0.999983	1.70866e-05	2.99663e-11
Chrom1	3323454	0.999991	9.43767e-06	1.34686e-11
Chrom1	3324508	0.999992	7.53763e-06	8.59902e-12
Chrom1	3396258	0.999994	6.02048e-06	4.77625e-12
Chrom1	3407534	0.999995	5.30509e-06	3.11527e-12
Chrom1	3426969	0.999998	2.08761e-06	2.28457e-14
Chrom1	3457918	0.999998	1.6062e-06	1.03461e-14
Chrom1	3461243	0.999997	2.94285e-06	1.62076e-13
Chrom1	3468068	0.999997	2.88846e-06	2.08244e-13
Chrom1	3469169	0.999996	3.95269e-06	3.69301e-13
Chrom1	3472494	0.999997	2.78904e-06	1.96468e-13
